dataset,method,run_id,alignment,test_accuracy,train_time_sec,circuits_total,subcentroids,noise_level,mitigation,n_samples
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep3,tensor(0.1419 grad_fn=<SqueezeBackward0>),0.9,158.504994,160,2,0.02,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep3,tensor(0.1605 grad_fn=<SqueezeBackward0>),0.9,157.595972,160,2,0.01,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep3,tensor(0.1857 grad_fn=<SqueezeBackward0>),0.9666666666666667,186.865838,320,4,0.01,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep3,tensor(0.1434 grad_fn=<SqueezeBackward0>),0.9,225.748733,480,6,0.01,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep3,tensor(0.1854 grad_fn=<SqueezeBackward0>),0.9666666666666667,237.224557,640,8,0.01,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep3,tensor(0.1930 grad_fn=<SqueezeBackward0>),0.9666666666666667,275.285125,800,10,0.01,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep3,tensor(0.1196 grad_fn=<SqueezeBackward0>),0.9,150.896021,160,2,0.03,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep3,tensor(0.1529 grad_fn=<SqueezeBackward0>),0.9,167.498024,320,4,0.02,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep3,tensor(0.1229 grad_fn=<SqueezeBackward0>),0.7666666666666667,186.736433,480,6,0.02,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep3,tensor(0.1625 grad_fn=<SqueezeBackward0>),0.9666666666666667,193.450010,640,8,0.02,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep3,tensor(0.1695 grad_fn=<SqueezeBackward0>),1.0,204.922944,800,10,0.02,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep3,tensor(0.1196 grad_fn=<SqueezeBackward0>),0.7333333333333333,197.495947,320,4,0.03,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep3,tensor(0.0959 grad_fn=<SqueezeBackward0>),0.8333333333333334,139.074190,160,2,0.04,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep3,tensor(0.0899 grad_fn=<SqueezeBackward0>),0.7333333333333333,192.963198,320,4,0.04,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep3,tensor(0.1006 grad_fn=<SqueezeBackward0>),0.7333333333333333,207.049182,480,6,0.03,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep3,tensor(0.1325 grad_fn=<SqueezeBackward0>),0.9666666666666667,211.820142,640,8,0.03,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep3,tensor(0.1409 grad_fn=<SqueezeBackward0>),0.9333333333333333,212.383352,800,10,0.03,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep3,tensor(0.0790 grad_fn=<SqueezeBackward0>),0.7333333333333333,214.329123,480,6,0.04,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep3,tensor(0.1006 grad_fn=<SqueezeBackward0>),0.9666666666666667,167.868228,640,8,0.04,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep3,tensor(0.0733 grad_fn=<SqueezeBackward0>),0.8333333333333334,152.607643,160,2,0.05,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep3,tensor(0.0672 grad_fn=<SqueezeBackward0>),0.7333333333333333,192.474875,320,4,0.05,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep3,tensor(0.0603 grad_fn=<SqueezeBackward0>),0.7333333333333333,203.762800,480,6,0.05,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep3,tensor(0.1078 grad_fn=<SqueezeBackward0>),0.9333333333333333,207.524937,800,10,0.04,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep3,tensor(0.0728 grad_fn=<SqueezeBackward0>),0.8666666666666667,215.677350,640,8,0.05,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep3,tensor(0.0540 grad_fn=<SqueezeBackward0>),0.7666666666666667,134.947350,160,2,0.06,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep3,tensor(0.0779 grad_fn=<SqueezeBackward0>),0.8333333333333334,196.294249,800,10,0.05,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep3,tensor(0.0501 grad_fn=<SqueezeBackward0>),0.7666666666666667,159.856793,320,4,0.06,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep3,tensor(0.0454 grad_fn=<SqueezeBackward0>),0.7333333333333333,169.664368,480,6,0.06,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep3,tensor(0.0516 grad_fn=<SqueezeBackward0>),0.7666666666666667,171.748688,640,8,0.06,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep3,tensor(0.0553 grad_fn=<SqueezeBackward0>),0.7666666666666667,179.584357,800,10,0.06,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep3,tensor(0.0388 grad_fn=<SqueezeBackward0>),0.7666666666666667,142.368430,160,2,0.07,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep3,tensor(0.0369 grad_fn=<SqueezeBackward0>),0.7666666666666667,137.455767,320,4,0.07,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep3,tensor(0.0337 grad_fn=<SqueezeBackward0>),0.7333333333333333,176.303084,480,6,0.07,,60
