method,centroids,best_test_acc,global_kta_at_best,centroid_kta_at_best,block_ratio_at_best,eff_rank_at_best,f1_at_best,circuit_executions,wall_time_s,acc_per_1k_execs
FullKTA,N/A,1.0,0.3901,0.3901,5.5475,3.17,1.0,68206,25.9,0.0147
RandomKTA,10,1.0,0.4122,0.4122,6.3532,8.25,1.0,100432,34.8,0.01
GreedyKTA,6,1.0,0.3573,0.3573,3.0238,10.12,1.0,240178,31.2,0.0042
CCKA (ours),4,1.0,0.1374,0.1703,1.2762,9.41,1.0,201143,46.3,0.005
RandomKTA,2,1.0,0.2354,0.2354,1.9388,2.26,1.0,307677,21.1,0.0033
GreedyKTA,10,1.0,0.4031,0.4031,3.783,7.76,1.0,254782,31.6,0.0039
RandomKTA,8,1.0,0.3612,0.3612,4.1742,6.31,1.0,113377,28.9,0.0088
RandomKTA,6,1.0,0.417,0.417,6.5272,2.26,1.0,197583,22.5,0.0051
RandomKTA,4,1.0,0.3334,0.3334,4.1188,3.05,1.0,155464,21.5,0.0064
GreedyKTA,8,0.9667,0.3743,0.3743,3.2991,6.91,0.9663,305707,32.9,0.0032
CCKA (ours),2,0.9,0.1964,0.6689,1.5833,8.71,0.899,285557,43.8,0.0032
QuackKTA,2,0.8333,0.3574,0.0117,3.453,1.74,0.8331,774963,121.8,0.0011
QuackKTA,4,0.8333,0.3574,0.0117,3.453,1.74,0.8331,774963,122.1,0.0011
QuackKTA,6,0.8333,0.3574,0.0117,3.453,1.74,0.8331,774963,121.7,0.0011
QuackKTA,8,0.8333,0.3574,0.0117,3.453,1.74,0.8331,774963,115.5,0.0011
QuackKTA,10,0.8333,0.3574,0.0117,3.453,1.74,0.8331,774963,111.5,0.0011
CCKA (ours),8,0.8,0.0984,0.4051,1.0758,9.48,0.7991,335067,48.2,0.0024
GreedyKTA,4,0.7667,0.177,0.177,1.4194,7.18,0.7664,298385,31.6,0.0026
CCKA (ours),6,0.6,0.0904,0.4754,1.0723,8.62,0.5982,312740,49.8,0.0019
CCKA (ours),10,0.5667,0.0356,0.0661,0.9492,8.08,0.5543,48657,50.2,0.0116
GreedyKTA,2,0.5667,0.1065,0.1065,1.1022,8.01,0.5662,61858,33.7,0.0092
