method,dataset,centroids,num_iterations,initial_training_accuracy,final_training_accuracy,initial_testing_accuracy,final_testing_accuracy,f1_score,precision,recall,training_time,circuit_executions,initial_kernel_alignment,final_kernel_alignment
fullKTA,corners,,10,0.95,0.99,0.83,0.91,0.9095568284594513,0.9121212121212121,0.9086538461538461,13.060188916000001,226150,0.19606539607048035,0.3024393618106842
randomKTA,corners,2.0,10,0.95,0.87,0.83,0.79,0.7837503861600247,0.8478260869565217,0.7980769230769231,14.733872584,216056,0.19606539607048035,0.21331655979156494
randomKTA,corners,4.0,10,0.95,0.97,0.83,0.9,0.8996386993175431,0.9009661835748792,0.8990384615384616,15.02638675,216070,0.19606539607048035,0.23139819502830505
randomKTA,corners,6.0,10,0.95,0.98,0.83,0.87,0.8693598633303186,0.8717171717171717,0.8685897435897436,15.293332958,216092,0.19606539607048035,0.24111315608024597
randomKTA,corners,8.0,10,0.95,0.92,0.83,0.81,0.8090644156366193,0.8241008681273254,0.8141025641025641,15.912304707999994,216122,0.19606539607048035,0.2340715080499649
randomKTA,corners,10.0,10,0.95,0.92,0.83,0.79,0.7863899908452854,0.8252747252747252,0.796474358974359,16.440913624999993,216160,0.19606539607048035,0.24099195003509521
quackKTA,corners,2.0,10,0.95,0.88,0.83,0.79,0.7851662404092072,0.8355947535052013,0.797275641025641,48.571837375000015,2262100,0.1977996677160263,0.22565308213233948
quackKTA,corners,4.0,10,0.95,0.88,0.83,0.79,0.7851662404092072,0.8355947535052013,0.797275641025641,48.973471208999996,2262100,0.1977996677160263,0.22565308213233948
quackKTA,corners,6.0,10,0.95,0.88,0.83,0.79,0.7851662404092072,0.8355947535052013,0.797275641025641,49.52844241699998,2262100,0.1977996677160263,0.22565308213233948
quackKTA,corners,8.0,10,0.95,0.88,0.83,0.79,0.7851662404092072,0.8355947535052013,0.797275641025641,49.97546516700004,2262100,0.1977996677160263,0.22565308213233948
quackKTA,corners,10.0,10,0.95,0.88,0.83,0.79,0.7851662404092072,0.8355947535052013,0.797275641025641,50.234341209000036,2262100,0.1977996677160263,0.22565308213233948
centroidBasedKTA,corners,2.0,100,0.95,0.95,0.83,0.92,0.9199679871948779,0.9199999999999999,0.9206730769230769,28.76121929100003,231900,0.1664721816778183,0.19954164326190948
centroidBasedKTA,corners,4.0,100,0.95,0.98,0.83,0.91,0.90999099909991,0.9126856684062625,0.9118589743589745,29.555715708000037,232700,0.1503462940454483,0.16257138550281525
centroidBasedKTA,corners,6.0,100,0.95,0.97,0.83,0.95,0.9499949994999499,0.9505802320928372,0.9511217948717949,28.355795917000023,233500,0.1713453233242035,0.13701534271240234
centroidBasedKTA,corners,8.0,100,0.95,0.99,0.83,0.92,0.9199679871948779,0.9243156199677939,0.922275641025641,28.535523124999997,234300,0.18077000975608826,0.153660848736763
