method,dataset,centroids,num_iterations,initial_training_accuracy,final_training_accuracy,initial_testing_accuracy,final_testing_accuracy,f1_score,precision,recall,training_time,circuit_executions,initial_kernel_alignment,final_kernel_alignment
fullKTA,donuts,,10,0.8833333333333333,1.0,0.8833333333333333,0.8333333333333334,0.8331479421579533,0.8383838383838383,0.8353726362625139,18.181589042,81690,0.11800495535135269,0.2560498118400574
randomKTA,donuts,2.0,10,0.8833333333333333,0.85,0.8833333333333333,0.8166666666666667,0.8166157265907197,0.8191964285714286,0.818131256952169,14.388799625,78036,0.11800495535135269,0.14021408557891846
randomKTA,donuts,4.0,10,0.8833333333333333,0.9166666666666666,0.8833333333333333,0.8333333333333334,0.8325892857142857,0.8457142857142858,0.8364849833147943,15.012655500000001,78050,0.11800495535135269,0.12797531485557556
randomKTA,donuts,6.0,10,0.8833333333333333,0.95,0.8833333333333333,0.8666666666666667,0.8666666666666667,0.867630700778643,0.867630700778643,15.668965125,78072,0.11800495535135269,0.1528615951538086
randomKTA,donuts,8.0,10,0.8833333333333333,0.95,0.8833333333333333,0.8666666666666667,0.8666666666666667,0.867630700778643,0.867630700778643,15.905041334000003,78102,0.11800495535135269,0.16654279828071594
randomKTA,donuts,10.0,10,0.8833333333333333,0.9666666666666667,0.8833333333333333,0.85,0.8499583217560434,0.8526785714285714,0.8515016685205784,16.725625582999996,78140,0.11800495535135269,0.16335336863994598
quackKTA,donuts,2.0,10,0.8833333333333333,0.8666666666666667,0.8833333333333333,0.8,0.797979797979798,0.8057142857142857,0.7975528364849833,39.13247645899999,822060,0.1174861267209053,0.1306374967098236
quackKTA,donuts,4.0,10,0.8833333333333333,0.8666666666666667,0.8833333333333333,0.8,0.797979797979798,0.8057142857142857,0.7975528364849833,38.94588424999998,822060,0.1174861267209053,0.1306374967098236
quackKTA,donuts,6.0,10,0.8833333333333333,0.8666666666666667,0.8833333333333333,0.8,0.797979797979798,0.8057142857142857,0.7975528364849833,38.84789162500002,822060,0.1174861267209053,0.1306374967098236
quackKTA,donuts,8.0,10,0.8833333333333333,0.8666666666666667,0.8833333333333333,0.8,0.797979797979798,0.8057142857142857,0.7975528364849833,39.090643666000005,822060,0.1174861267209053,0.1306374967098236
quackKTA,donuts,10.0,10,0.8833333333333333,0.8666666666666667,0.8833333333333333,0.8,0.797979797979798,0.8057142857142857,0.7975528364849833,39.096559540999976,822060,0.1174861267209053,0.1306374967098236
