method,centroids,best_test_acc,global_kta_at_best,centroid_kta_at_best,block_ratio_at_best,eff_rank_at_best,f1_at_best,circuit_executions,wall_time_s,acc_per_1k_execs
GreedyKTA,8,0.9333,0.0855,0.0855,1.1497,8.12,0.933,27010,57.3,0.0346
GreedyKTA,6,0.9167,0.1263,0.1263,1.3294,8.09,0.9166,135047,60.5,0.0068
CCKA (ours),10,0.9167,0.1125,0.0278,1.2705,31.0,0.9166,991927,72.2,0.0009
CCKA (ours),2,0.9167,0.1008,-0.0764,1.2083,17.18,0.9165,305436,67.8,0.003
RandomKTA,2,0.9167,0.1108,0.1108,1.2238,11.83,0.9166,1242022,71.3,0.0007
GreedyKTA,10,0.9,0.0903,0.0903,1.1651,8.4,0.899,94537,61.8,0.0095
GreedyKTA,2,0.9,0.0651,0.0651,1.081,14.82,0.8996,1228896,59.7,0.0007
CCKA (ours),6,0.9,0.1188,-0.0062,1.2983,16.48,0.8999,11902,68.1,0.0756
QuackKTA,8,0.8833,0.1147,0.0235,1.2953,8.28,0.8825,6604,169.9,0.1338
FullKTA,N/A,0.8833,0.118,0.118,1.3048,7.45,0.883,12840,87.6,0.0688
QuackKTA,6,0.8833,0.1147,0.0235,1.2953,8.28,0.8825,6604,194.9,0.1338
QuackKTA,4,0.8833,0.1147,0.0235,1.2953,8.28,0.8825,6604,204.1,0.1338
QuackKTA,2,0.8833,0.1147,0.0235,1.2953,8.28,0.8825,6604,225.5,0.1338
RandomKTA,10,0.8833,0.1906,0.1906,1.8592,9.45,0.8833,256108,69.2,0.0034
RandomKTA,8,0.8833,0.1672,0.1672,1.5877,10.3,0.8833,153660,73.1,0.0057
RandomKTA,6,0.8833,0.2394,0.2394,2.0703,8.26,0.8833,960354,74.2,0.0009
RandomKTA,4,0.8833,0.1697,0.1697,1.638,12.1,0.8833,332917,69.5,0.0027
QuackKTA,10,0.8833,0.1147,0.0235,1.2953,8.28,0.8825,6604,165.5,0.1338
CCKA (ours),4,0.8667,0.0561,0.0002,1.0637,16.48,0.8653,23199,69.4,0.0374
CCKA (ours),8,0.8667,0.1516,0.4727,1.4547,23.35,0.8661,1161031,69.2,0.0007
GreedyKTA,4,0.8667,0.118,0.118,1.3048,9.0,0.8653,13504,58.4,0.0642
