dataset,method,run_id,test_accuracy,train_time_sec,circuits_total,subcentroids,noise_level,mitigation,n_samples
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep1,0.875,174.048209,160,2,0.01,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep1,0.875,202.653703,320,4,0.01,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep1,0.875,210.700409,480,6,0.01,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep1,0.875,83.791983,160,2,0.02,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep1,0.875,131.496286,640,8,0.01,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep1,0.75,149.337948,800,10,0.01,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep1,0.875,104.141621,320,4,0.02,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep1,0.875,121.899575,480,6,0.02,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep1,0.875,149.913048,640,8,0.02,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep1,0.875,85.256321,160,2,0.03,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep1,0.75,177.739559,800,10,0.02,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep1,0.875,128.098493,320,4,0.03,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep1,0.875,123.654540,480,6,0.03,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep1,0.875,144.418408,640,8,0.03,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep1,0.75,163.811934,800,10,0.03,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep1,0.875,97.419822,160,2,0.04,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep1,0.875,114.677881,320,4,0.04,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep1,0.875,120.359109,480,6,0.04,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep1,0.875,173.703350,640,8,0.04,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep1,0.875,129.740468,160,2,0.05,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep1,0.75,202.594249,800,10,0.04,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep1,0.875,109.561171,320,4,0.05,,60
