dataset,method,run_id,alignment,test_accuracy,train_time_sec,circuits_total,subcentroids,noise_level,mitigation,n_samples
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep4,tensor(0.1605 grad_fn=<SqueezeBackward0>),0.9,139.534133,160,2,0.01,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep4,tensor(0.1419 grad_fn=<SqueezeBackward0>),0.9,145.020117,160,2,0.02,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep4,tensor(0.1857 grad_fn=<SqueezeBackward0>),0.9666666666666667,202.294863,320,4,0.01,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep4,tensor(0.1434 grad_fn=<SqueezeBackward0>),0.9,235.255697,480,6,0.01,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep4,tensor(0.1854 grad_fn=<SqueezeBackward0>),0.9666666666666667,240.139368,640,8,0.01,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep4,tensor(0.1930 grad_fn=<SqueezeBackward0>),0.9666666666666667,263.479040,800,10,0.01,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep4,tensor(0.1529 grad_fn=<SqueezeBackward0>),0.9,156.344252,320,4,0.02,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep4,tensor(0.1229 grad_fn=<SqueezeBackward0>),0.7666666666666667,164.299296,480,6,0.02,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep4,tensor(0.1196 grad_fn=<SqueezeBackward0>),0.9,129.843296,160,2,0.03,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep4,tensor(0.1625 grad_fn=<SqueezeBackward0>),0.9666666666666667,168.040110,640,8,0.02,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep4,tensor(0.1196 grad_fn=<SqueezeBackward0>),0.7333333333333333,183.910232,320,4,0.03,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep4,tensor(0.1695 grad_fn=<SqueezeBackward0>),1.0,209.999266,800,10,0.02,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep4,tensor(0.0959 grad_fn=<SqueezeBackward0>),0.8333333333333334,134.822563,160,2,0.04,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep4,tensor(0.1006 grad_fn=<SqueezeBackward0>),0.7333333333333333,258.531415,480,6,0.03,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep4,tensor(0.0899 grad_fn=<SqueezeBackward0>),0.7333333333333333,218.978142,320,4,0.04,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep4,tensor(0.1325 grad_fn=<SqueezeBackward0>),0.9666666666666667,274.735245,640,8,0.03,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep4,tensor(0.1409 grad_fn=<SqueezeBackward0>),0.9333333333333333,279.249234,800,10,0.03,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep4,tensor(0.0790 grad_fn=<SqueezeBackward0>),0.7333333333333333,221.931444,480,6,0.04,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep4,tensor(0.1006 grad_fn=<SqueezeBackward0>),0.9666666666666667,175.816845,640,8,0.04,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep4,tensor(0.0733 grad_fn=<SqueezeBackward0>),0.8333333333333334,163.945566,160,2,0.05,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep4,tensor(0.0672 grad_fn=<SqueezeBackward0>),0.7333333333333333,195.088486,320,4,0.05,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep4,tensor(0.0603 grad_fn=<SqueezeBackward0>),0.7333333333333333,214.536194,480,6,0.05,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters8__rep4,tensor(0.0728 grad_fn=<SqueezeBackward0>),0.8666666666666667,224.223377,640,8,0.05,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep4,tensor(0.1078 grad_fn=<SqueezeBackward0>),0.9333333333333333,248.835305,800,10,0.04,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters10__rep4,tensor(0.0779 grad_fn=<SqueezeBackward0>),0.8333333333333334,188.826263,800,10,0.05,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters2__rep4,tensor(0.0540 grad_fn=<SqueezeBackward0>),0.7666666666666667,127.608013,160,2,0.06,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters4__rep4,tensor(0.0501 grad_fn=<SqueezeBackward0>),0.7666666666666667,153.706672,320,4,0.06,,60
checkerboard,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs20_epochs0_001_epochs0_001_clusters6__rep4,tensor(0.0454 grad_fn=<SqueezeBackward0>),0.7333333333333333,185.606637,480,6,0.06,,60
