dataset,method,metric,epoch,mean,min,max,n_seeds
checkerboard,fullKTA,test_accuracy,1.0,0.4333333333333333,0.3333333333333333,0.5666666666666667,10
checkerboard,fullKTA,test_accuracy,2.0,0.4633333333333334,0.36666666666666664,0.5333333333333333,10
checkerboard,fullKTA,test_accuracy,3.0,0.45999999999999996,0.4,0.5666666666666667,10
checkerboard,fullKTA,test_accuracy,4.0,0.4766666666666667,0.4,0.5666666666666667,10
checkerboard,fullKTA,test_accuracy,5.0,0.49000000000000005,0.4,0.6333333333333333,10
checkerboard,fullKTA,test_accuracy,6.0,0.5266666666666666,0.4,0.7666666666666667,10
checkerboard,fullKTA,test_accuracy,7.0,0.5700000000000001,0.4,0.7666666666666667,10
checkerboard,fullKTA,test_accuracy,8.0,0.5966666666666667,0.4,0.8333333333333334,10
checkerboard,fullKTA,test_accuracy,9.0,0.63,0.4,0.9,10
checkerboard,fullKTA,test_accuracy,10.0,0.6799999999999999,0.4,0.9666666666666667,10
checkerboard,fullKTA,test_accuracy,11.0,0.7266666666666667,0.4,1.0,10
checkerboard,fullKTA,test_accuracy,12.0,0.7566666666666666,0.4,1.0,10
checkerboard,fullKTA,test_accuracy,13.0,0.7866666666666667,0.4,1.0,10
checkerboard,fullKTA,test_accuracy,14.0,0.8,0.4,1.0,10
checkerboard,fullKTA,test_accuracy,15.0,0.8233333333333335,0.4,1.0,10
checkerboard,fullKTA,test_accuracy,16.0,0.8433333333333334,0.4,1.0,10
checkerboard,fullKTA,test_accuracy,17.0,0.85,0.4,1.0,10
checkerboard,fullKTA,test_accuracy,18.0,0.85,0.4,1.0,10
checkerboard,fullKTA,test_accuracy,19.0,0.8533333333333333,0.4,1.0,10
checkerboard,fullKTA,test_accuracy,20.0,0.8666666666666666,0.4,1.0,10
checkerboard,fullKTA,test_accuracy,21.0,0.8733333333333334,0.4,1.0,10
checkerboard,fullKTA,test_accuracy,22.0,0.8800000000000001,0.4,1.0,10
checkerboard,fullKTA,test_accuracy,23.0,0.89,0.4,1.0,10
checkerboard,fullKTA,test_accuracy,24.0,0.9066666666666666,0.4,1.0,10
checkerboard,fullKTA,test_accuracy,25.0,0.9199999999999999,0.4,1.0,10
checkerboard,fullKTA,test_accuracy,26.0,0.9333333333333333,0.4,1.0,10
checkerboard,fullKTA,test_accuracy,27.0,0.9333333333333333,0.4,1.0,10
checkerboard,fullKTA,test_accuracy,28.0,0.9333333333333333,0.4,1.0,10
