dataset,method,run_id,alignment,test_accuracy,train_time_sec,circuits_total,subcentroids,noise_level,mitigation,n_samples
double_cake,ccka,ccka_lr0_2_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters2__rep1,tensor(0.1768, grad_fn=<SqueezeBackward0>),0.875,415.565980,800,2,0.01,,40
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters2__rep1,tensor(0.2036, grad_fn=<SqueezeBackward0>),0.875,419.227618,800,2,0.01,,40
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters4__rep1,tensor(0.1641, grad_fn=<SqueezeBackward0>),0.875,422.098191,1600,4,0.01,,40
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters6__rep1,tensor(0.1988, grad_fn=<SqueezeBackward0>),0.9375,432.480309,2400,6,0.01,,40
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters8__rep1,tensor(0.1939, grad_fn=<SqueezeBackward0>),0.875,442.090004,3200,8,0.01,,40
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters10__rep1,tensor(0.1605, grad_fn=<SqueezeBackward0>),0.9375,452.765395,4000,10,0.01,,40
double_cake,ccka,ccka_lr0_2_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters2__rep1,tensor(0.1768, grad_fn=<SqueezeBackward0>),0.875,368.903740,800,2,0.01,,40
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters2__rep1,tensor(0.2036, grad_fn=<SqueezeBackward0>),0.875,375.347170,800,2,0.01,,40
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters4__rep1,tensor(0.1641, grad_fn=<SqueezeBackward0>),0.875,378.776745,1600,4,0.01,,40
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters6__rep1,tensor(0.1988, grad_fn=<SqueezeBackward0>),0.9375,383.651325,2400,6,0.01,,40
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters8__rep1,tensor(0.1939, grad_fn=<SqueezeBackward0>),0.875,394.333520,3200,8,0.01,,40
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters10__rep1,tensor(0.1605, grad_fn=<SqueezeBackward0>),0.9375,403.612034,4000,10,0.01,,40
double_cake,ccka,ccka_lr0_2_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters4__rep1,tensor(0.1660, grad_fn=<SqueezeBackward0>),0.8125,404.652516,1600,4,0.01,,40
double_cake,ccka,ccka_lr0_2_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters6__rep1,tensor(0.2182, grad_fn=<SqueezeBackward0>),1.0,411.816478,2400,6,0.01,,40
double_cake,ccka,ccka_lr0_2_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters8__rep1,tensor(0.2078, grad_fn=<SqueezeBackward0>),0.8125,422.435134,3200,8,0.01,,40
double_cake,ccka,ccka_lr0_2_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters10__rep1,tensor(0.1552, grad_fn=<SqueezeBackward0>),0.9375,431.617482,4000,10,0.01,,40
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters2__rep1,tensor(0.1764, grad_fn=<SqueezeBackward0>),1.0,1161.277721,800,2,0.01,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters4__rep1,tensor(0.1810, grad_fn=<SqueezeBackward0>),1.0,1160.592238,1600,4,0.01,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters6__rep1,tensor(0.2161, grad_fn=<SqueezeBackward0>),0.9583333333333334,1319.514786,2400,6,0.01,,60
double_cake,ccka,ccka_lr0_2_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters2__rep1,tensor(0.1822, grad_fn=<SqueezeBackward0>),1.0,1309.740056,800,2,0.01,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters8__rep1,tensor(0.1852, grad_fn=<SqueezeBackward0>),1.0,1349.483177,3200,8,0.01,,60
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters10__rep1,tensor(0.2105, grad_fn=<SqueezeBackward0>),1.0,1339.267028,4000,10,0.01,,60
double_cake,ccka,ccka_lr0_2_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters4__rep1,tensor(0.1739, grad_fn=<SqueezeBackward0>),1.0,1375.239756,1600,4,0.01,,60
