dataset,method,metric,epoch,mean,min,max,n_seeds
checkerboard,fullKTA,direction_diversity,1.0,5.187891468456327,1.7013613915805497,6.733169524093123,10
checkerboard,fullKTA,direction_diversity,2.0,5.622511253798867,1.350524979738262,8.82293725209015,10
checkerboard,fullKTA,direction_diversity,3.0,5.563920808647069,1.2880934231708432,8.398195589831909,10
checkerboard,fullKTA,direction_diversity,4.0,6.036941595277332,1.2964560087196897,8.895279414921916,10
checkerboard,fullKTA,direction_diversity,5.0,6.2576781742108025,1.290600688420454,9.431867262668158,10
checkerboard,fullKTA,direction_diversity,6.0,6.233831295681371,1.2892383226461095,10.009432460518468,10
checkerboard,fullKTA,direction_diversity,7.0,6.5540681220367745,1.2955985598133677,11.066770751799313,10
checkerboard,fullKTA,direction_diversity,8.0,6.173480084180185,1.2966876684036486,10.772434609503094,10
checkerboard,fullKTA,direction_diversity,9.0,5.89304979527695,1.2750451178248432,10.391931565841404,10
checkerboard,fullKTA,direction_diversity,10.0,5.535261531308916,1.2657307558615793,10.124206803617684,10
checkerboard,fullKTA,direction_diversity,11.0,5.377377297617929,1.2741567338418398,8.826647359785904,10
checkerboard,fullKTA,direction_diversity,12.0,4.835121427370129,1.2846036617211216,7.712766017550212,10
checkerboard,fullKTA,direction_diversity,13.0,4.767087107928299,1.2918571028999124,7.421744635003473,10
checkerboard,fullKTA,direction_diversity,14.0,3.9296720387424173,1.3014377766768528,6.858523385539722,10
checkerboard,fullKTA,direction_diversity,15.0,3.742486657469719,1.3132816322742669,6.4804728313357876,10
checkerboard,fullKTA,direction_diversity,16.0,3.484395737291508,1.3202463400523723,5.932450862526436,10
checkerboard,fullKTA,direction_diversity,17.0,3.318913579777488,1.3261153988233843,5.042234587756691,10
checkerboard,fullKTA,direction_diversity,18.0,3.41018984098678,1.3506095172695425,5.163830217444239,10
checkerboard,fullKTA,direction_diversity,19.0,3.4660223758086692,1.381019498721876,6.119678105125001,10
checkerboard,fullKTA,direction_diversity,20.0,3.5514818510029307,1.4121105634370004,7.608086244150572,10
checkerboard,fullKTA,direction_diversity,21.0,3.6989048968278646,1.4314347941781351,9.168363719757306,10
checkerboard,fullKTA,direction_diversity,22.0,3.5989137363700605,1.4513227375800608,8.635267665012373,10
checkerboard,fullKTA,direction_diversity,23.0,3.474949004370346,1.4890040708689578,8.42592239174705,10
checkerboard,fullKTA,direction_diversity,24.0,3.2017984643418864,1.528268342492978,6.925174952184114,10
checkerboard,fullKTA,direction_diversity,25.0,3.0478377937073238,1.5442437350514986,5.745753243025458,10
checkerboard,fullKTA,direction_diversity,26.0,2.8947536699967014,1.5301697703597141,4.656595910875474,10
checkerboard,fullKTA,direction_diversity,27.0,3.0325402203337073,1.5167905692292496,6.768144058959755,10
checkerboard,fullKTA,direction_diversity,28.0,2.560391549700105,1.4932668969399987,3.690928158350134,10
checkerboard,fullKTA,direction_diversity,29.0,2.4422893402859795,1.4631952423699484,3.6084658788937984,10
checkerboard,fullKTA,direction_diversity,30.0,2.385302549203031,1.430838084345631,3.52259348380384,10
