method,centroids,best_test_acc,global_kta_at_best,centroid_kta_at_best,block_ratio_at_best,eff_rank_at_best,f1_at_best,circuit_executions,wall_time_s,acc_per_1k_execs
RandomKTA,8,0.98,0.3097,0.3097,3.051,5.79,0.98,2265678,99.3,0.0004
RandomKTA,10,0.97,0.4063,0.4063,4.7663,5.19,0.97,2902931,100.7,0.0003
FullKTA,N/A,0.96,0.3854,0.3854,5.0295,3.0,0.96,745531,130.3,0.0013
CCKA (ours),4,0.96,0.12,-0.1114,1.3629,13.15,0.9599,3033699,81.7,0.0003
RandomKTA,6,0.96,0.3603,0.3603,3.9255,4.65,0.96,3115280,123.2,0.0003
GreedyKTA,8,0.95,0.1823,0.1823,1.7046,8.41,0.95,1715557,77.7,0.0006
GreedyKTA,10,0.95,0.2071,0.2071,2.001,5.65,0.95,2044089,76.8,0.0005
CCKA (ours),10,0.94,0.1423,-0.0015,1.4975,11.51,0.9399,1700760,81.5,0.0006
GreedyKTA,2,0.94,0.2332,0.2332,2.4269,7.32,0.94,839512,76.9,0.0011
GreedyKTA,6,0.94,0.1989,0.1989,2.2968,7.52,0.94,1533038,76.0,0.0006
QuackKTA,4,0.93,0.307,0.1394,3.2292,3.88,0.93,13567856,297.5,0.0001
QuackKTA,6,0.93,0.307,0.1394,3.2292,3.88,0.93,13567856,323.6,0.0001
QuackKTA,8,0.93,0.307,0.1394,3.2292,3.88,0.93,13567856,356.2,0.0001
QuackKTA,2,0.93,0.307,0.1394,3.2292,3.88,0.93,13567856,352.6,0.0001
CCKA (ours),8,0.93,0.1741,0.0399,1.7612,12.59,0.93,2126114,82.0,0.0004
RandomKTA,4,0.93,0.2769,0.2769,3.0653,4.79,0.93,3044460,109.4,0.0003
QuackKTA,10,0.93,0.307,0.1394,3.2292,3.88,0.93,13567856,289.5,0.0001
GreedyKTA,4,0.91,0.2078,0.2078,2.1167,8.8,0.91,1934537,76.2,0.0005
CCKA (ours),2,0.89,0.1482,0.1645,1.4589,16.43,0.89,2497205,80.2,0.0004
RandomKTA,2,0.88,0.1882,0.1882,2.0438,5.46,0.88,1274420,118.7,0.0007
CCKA (ours),6,0.88,0.1764,0.001,1.7735,9.37,0.8796,63473,81.4,0.0139
