,num_layers,accuracy_train_init,accuracy_test_init,alignment_train_init,accuracy_train_final,accuracy_test_final,alignment_train_epochs,circuit_executions,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config.name,config.file,config.n_samples,config.noise,config.num_sectors,config.points_per_sector,config.grid_size,config.sampling_radius,config.training_size,config.testing_size,config.validation_size,config.device,config.n_qubits,config.trainable,config.input_scaling,config.data_reuploading,config.ansatz,config.ansatz_layers,config.optimizer,config.lr,config.mclr,config.cclr,config.epochs,config.train_method,config.target_accuracy,config.get_alignment_every,config.validate_every_epoch,config.base_path,config.lambda_kao,config.lambda_co,config.clusters,config.ray_logging_path
0,5,0.9333333333333333,0.8,0.1685277819633484,0.9777777777777777,0.9777777777777777,"[0.22173254191875458, 0.2570607662200928, 0.22527112066745758, 0.20078150928020477, 0.18953529000282288]",22500,1734352811,,False,1,7699b_00000,2024-12-16_13-40-11,1038.8385753631592,1038.8385753631592,342332,digvijay-Alienware-Area-51-R5,172.24.11.109,1038.8385753631592,1,double_cake,,100,0.5,3,15,4,0.1,0.5,0.5,0.0,lightning.qubit,4,True,True,True,he,5,gd,0.1,0.01,0.01,500,quack,0.95,10,1,results/,0.01,0.01,2,logs/checkerboard
0,5,0.9333333333333333,0.8,0.1685277819633484,0.9777777777777777,0.9777777777777777,"[0.2028520554304123, 0.24404475092887878, 0.26971298456192017, 0.28519606590270996, 0.2962304651737213, 0.304916650056839, 0.31214869022369385, 0.31840622425079346, 0.3239850103855133, 0.32908034324645996, 0.33382925391197205, 0.33833590149879456, 0.3426867425441742, 0.3469587564468384, 0.3512226343154907, 0.3555421531200409, 0.35997074842453003, 0.36454686522483826, 0.3692878782749176, 0.3741845190525055, 0.37919771671295166, 0.3842628300189972, 0.38930216431617737, 0.39424246549606323, 0.39902815222740173, 0.403624027967453, 0.4080100953578949, 0.4121749997138977, 0.41611385345458984, 0.4198285639286041, 0.4233284592628479, 0.42662954330444336, 0.42975160479545593, 0.43271565437316895, 0.43554189801216125, 0.4382484555244446, 0.4408520460128784, 0.44336771965026855, 0.44580990076065063, 0.4481925666332245, 0.4505294859409332, 0.4528333842754364, 0.4551161229610443, 0.45738735795021057, 0.45965442061424255, 0.46192222833633423, 0.4641929864883423, 0.4664666950702667, 0.46874117851257324, 0.47101154923439026]",1012500,1734372037,,False,1,7699b_00001,2024-12-16_19-00-37,20264.510595798492,20264.510595798492,342331,digvijay-Alienware-Area-51-R5,172.24.11.109,20264.510595798492,1,double_cake,,100,0.5,3,15,4,0.1,0.5,0.5,0.0,lightning.qubit,4,True,True,True,he,5,gd,0.1,0.01,0.01,500,full,0.95,10,1,results/,0.01,0.01,2,logs/checkerboard
0,5,0.9333333333333333,0.6666666666666666,0.1973714828491211,1.0,0.8333333333333334,"[0.3088255226612091, 0.2770199477672577, 0.2682091295719147, 0.25678402185440063, 0.2508191168308258]",15000,1734037912,,False,1,0d2c0_00000,2024-12-12_22-11-52,708.0295598506927,708.0295598506927,2096639,digvijay-Alienware-Area-51-R5,172.24.11.109,708.0295598506927,1,checkerboard,/home/digvijay/Documents/developer/greedy_kernel_alignment/data/checkerboard_dataset.npy,200,0.5,3,15,4,0.1,0.5,0.5,0.0,lightning.qubit,4,True,True,True,embedding_paper,5,gd,0.1,0.01,0.01,500,quack,0.95,10,1,results/,0.01,0.01,2,logs/checkerboard
0,5,0.9333333333333333,0.6666666666666666,0.1973714828491211,1.0,1.0,"[0.26334869861602783, 0.31425029039382935, 0.3521480858325958, 0.39090588688850403, 0.42407941818237305, 0.4464372396469116, 0.46166592836380005, 0.4727584719657898, 0.48120030760765076, 0.48792946338653564, 0.4935154616832733, 0.49829885363578796, 0.5024996399879456, 0.50627201795578, 0.5097271203994751, 0.5129443407058716, 0.5159775614738464, 0.5188594460487366, 0.5216054320335388, 0.524217426776886, 0.5266883373260498, 0.5290071368217468, 0.5311628580093384, 0.5331482887268066, 0.5349611639976501, 0.5366048216819763, 0.5380873680114746, 0.5394203662872314, 0.5406172275543213, 0.541691780090332, 0.5426580905914307, 0.5435287356376648, 0.544315755367279, 0.5450292229652405, 0.5456781387329102, 0.5462705492973328, 0.546812891960144, 0.5473111867904663, 0.5477702021598816, 0.5481945276260376, 0.5485877394676208, 0.548953115940094, 0.5492936372756958, 0.5496115684509277, 0.5499094128608704, 0.5501888990402222, 0.5504518151283264, 0.5506996512413025, 0.5509339570999146, 0.551155686378479]",450000,1734046822,,False,1,0d2c0_00001,2024-12-13_00-40-22,9618.184523582458,9618.184523582458,2096640,digvijay-Alienware-Area-51-R5,172.24.11.109,9618.184523582458,1,checkerboard,/home/digvijay/Documents/developer/greedy_kernel_alignment/data/checkerboard_dataset.npy,200,0.5,3,15,4,0.1,0.5,0.5,0.0,lightning.qubit,4,True,True,True,embedding_paper,5,gd,0.1,0.01,0.01,500,full,0.95,10,1,results/,0.01,0.01,2,logs/checkerboard
0,5,0.96,0.87,0.15083949267864227,0.97,0.93,"[0.19519305229187012, 0.21776624023914337, 0.23477885127067566, 0.24724078178405762, 0.2534460127353668, 0.2634332478046417, 0.26779693365097046, 0.2743420898914337, 0.2783017158508301, 0.28277644515037537]",32000,1737646003,,False,1,ddb32_00003,2025-01-23_16-26-43,2509.47739982605,2509.47739982605,52546,digvijay-Alienware-Area-51-R5,172.24.13.56,2509.47739982605,1,corners,/home/digvijay/Documents/developer/greedy_kernel_alignment/data/corners.npy,200,0.5,3,15,4,0.1,0.5,0.5,0.0,lightning.qubit,4,True,True,True,he,5,gd,0.1,0.01,0.01,500,random,0.95,50,1,results/,0.01,0.01,8,logs/checkerboard
0,5,0.96,0.87,0.15083949267864227,0.97,0.93,"[0.19519305229187012, 0.21776624023914337, 0.23477885127067566, 0.24724078178405762, 0.2534460127353668, 0.2634332478046417, 0.26779693365097046, 0.2743420898914337, 0.2783017158508301, 0.28277644515037537]",32000,1737643487,,False,1,ddb32_00002,2025-01-23_15-44-47,2392.0948650836945,2392.0948650836945,48148,digvijay-Alienware-Area-51-R5,172.24.13.56,2392.0948650836945,1,corners,/home/digvijay/Documents/developer/greedy_kernel_alignment/data/corners.npy,200,0.5,3,15,4,0.1,0.5,0.5,0.0,lightning.qubit,4,True,True,True,he,5,gd,0.1,0.01,0.01,500,random,0.95,50,1,results/,0.01,0.01,8,logs/checkerboard
0,5,0.96,0.87,0.15083949267864227,0.97,0.93,"[0.19519305229187012, 0.21776624023914337, 0.23477885127067566, 0.24724078178405762, 0.2534460127353668, 0.2634332478046417, 0.26779693365097046, 0.2743420898914337, 0.2783017158508301, 0.28277644515037537]",32000,1737638736,,False,1,ddb32_00000,2025-01-23_14-25-36,2429.508567094803,2429.508567094803,44330,digvijay-Alienware-Area-51-R5,172.24.13.56,2429.508567094803,1,corners,/home/digvijay/Documents/developer/greedy_kernel_alignment/data/corners.npy,200,0.5,3,15,4,0.1,0.5,0.5,0.0,lightning.qubit,4,True,True,True,he,5,gd,0.1,0.01,0.01,500,random,0.95,50,1,results/,0.01,0.01,8,logs/checkerboard
0,5,0.96,0.87,0.15083949267864227,0.97,0.93,"[0.19519305229187012, 0.21776624023914337, 0.23477885127067566, 0.24724078178405762, 0.2534460127353668, 0.2634332478046417, 0.26779693365097046, 0.2743420898914337, 0.2783017158508301, 0.28277644515037537]",32000,1737641088,,False,1,ddb32_00001,2025-01-23_15-04-48,2345.9541721343994,2345.9541721343994,47121,digvijay-Alienware-Area-51-R5,172.24.13.56,2345.9541721343994,1,corners,/home/digvijay/Documents/developer/greedy_kernel_alignment/data/corners.npy,200,0.5,3,15,4,0.1,0.5,0.5,0.0,lightning.qubit,4,True,True,True,he,5,gd,0.1,0.01,0.01,500,random,0.95,50,1,results/,0.01,0.01,8,logs/checkerboard
0,5,0.96,0.87,0.15083949267864227,0.97,0.93,"[0.19519305229187012, 0.21776624023914337, 0.23477885127067566, 0.24724078178405762, 0.2534460127353668, 0.2634332478046417, 0.26779693365097046, 0.2743420898914337, 0.2783017158508301, 0.28277644515037537]",32000,1737648515,,False,1,ddb32_00004,2025-01-23_17-08-35,2506.8727469444275,2506.8727469444275,55172,digvijay-Alienware-Area-51-R5,172.24.13.56,2506.8727469444275,1,corners,/home/digvijay/Documents/developer/greedy_kernel_alignment/data/corners.npy,200,0.5,3,15,4,0.1,0.5,0.5,0.0,lightning.qubit,4,True,True,True,he,5,gd,0.1,0.01,0.01,500,random,0.95,50,1,results/,0.01,0.01,8,logs/checkerboard
0,5,0.9333333333333333,0.8,0.1685277819633484,0.8888888888888888,0.6888888888888889,"[0.21883438527584076, 0.2238260954618454, 0.18070408701896667, 0.1462763398885727, 0.12675200402736664]",4000,1734302395,,False,1,f7985_00031,2024-12-15_23-39-55,385.1764199733734,385.1764199733734,192450,digvijay-Alienware-Area-51-R5,100.87.195.216,385.1764199733734,1,double_cake,,100,0.5,3,15,4,0.1,0.5,0.5,0.0,lightning.qubit,4,True,True,True,he,5,gd,0.1,0.01,0.01,500,ccka,0.95,10,1,results/,0.01,0.01,4,logs/checkerboard
